LM,x
1,#FF0000FF
2,#FF0000FF
3,#FF0000FF
4,#FF0000FF
5,#FF0000FF
6,#FF0000FF
7,#FF0000FF
8,#FF0000FF
9,#FF0000FF
10,#FF0000FF
11,#FF0000FF
12,#FF0000FF
13,#FF0000FF
14,#FF0000FF
15,#FF0000FF
16,#FF0000FF
17,#FF0000FF
18,#FF0000FF
19,#FF0000FF
20,#FF0000FF
21,#FF0000FF
22,#FF0000FF
23,#FF0000FF
24,#FF0000FF
25,#FF9900FF
26,#CCFF00FF
27,#33FF00FF
28,#33FF00FF
29,#33FF00FF
30,#33FF00FF
31,#33FF00FF
32,#33FF00FF
33,#33FF00FF
34,#33FF00FF
35,#33FF00FF
36,#33FF00FF
37,#33FF00FF
38,#33FF00FF
39,#33FF00FF
40,#33FF00FF
41,#33FF00FF
42,#33FF00FF
43,#33FF00FF
44,#33FF00FF
45,#33FF00FF
46,#33FF00FF
47,#33FF00FF
48,#33FF00FF
49,#33FF00FF
50,#33FF00FF
51,#33FF00FF
52,#33FF00FF
53,#33FF00FF
54,#33FF00FF
55,#33FF00FF
56,#33FF00FF
57,#33FF00FF
58,#33FF00FF
59,#33FF00FF
60,#33FF00FF
61,#33FF00FF
62,#33FF00FF
63,#33FF00FF
64,#33FF00FF
65,#33FF00FF
66,#00FF66FF
67,#00FF66FF
68,#00FF66FF
69,#00FF66FF
70,#00FF66FF
71,#00FF66FF
72,#00FF66FF
73,#00FF66FF
74,#00FF66FF
75,#00FF66FF
76,#00FF66FF
77,#00FF66FF
78,#00FF66FF
79,#00FF66FF
80,#00FF66FF
81,#00FF66FF
82,#00FF66FF
83,#00FF66FF
84,#00FF66FF
85,#00FF66FF
86,#00FF66FF
87,#00FF66FF
88,#00FF66FF
89,#00FF66FF
90,#00FF66FF
91,#00FF66FF
92,#00FF66FF
93,#00FFFFFF
94,#0066FFFF
95,#3300FFFF
96,#3300FFFF
97,#3300FFFF
98,#3300FFFF
99,#3300FFFF
100,#3300FFFF
101,#3300FFFF
102,#3300FFFF
103,#3300FFFF
104,#3300FFFF
105,#3300FFFF
106,#3300FFFF
107,#3300FFFF
108,#3300FFFF
109,#3300FFFF
110,#3300FFFF
111,#3300FFFF
112,#3300FFFF
113,#3300FFFF
114,#3300FFFF
115,#3300FFFF
116,#3300FFFF
117,#3300FFFF
118,#3300FFFF
119,#3300FFFF
120,#3300FFFF
121,#3300FFFF
122,#CC00FFFF
123,#FF0099FF